"collection_title","article_id","title","conference_id","Author","Year","hdl","doi"
"6, 1980 (Zaria, Nigeria)","9595286","Wastewater for reuse","6","J.A. Ogunrombi",2018,"https://hdl.handle.net/2134/30311",""
"6, 1980 (Zaria, Nigeria)","9595256","Local materials as filter media in Nigeria","6","Suleyman O. Adeyemi",2018,"https://hdl.handle.net/2134/30111",""
"6, 1980 (Zaria, Nigeria)","9595277","Alternative excreta disposal systems in Eastern Nigeria","6","N. Egbuniwe",2018,"https://hdl.handle.net/2134/30092",""
"6, 1980 (Zaria, Nigeria)","9595313","The need for appropriate environmental health technology in Africa","6","B.Z. Diamant",2018,"https://hdl.handle.net/2134/30087",""
"6, 1980 (Zaria, Nigeria)","9595358","Development of water resources in the Sokoto State","6","Mohammed A. Gill",2018,"https://hdl.handle.net/2134/29920",""
"6, 1980 (Zaria, Nigeria)","9595292","Relevant water development technology in relation to operation and maintenance aspects under uncertainty","6","Okay C. Igwe",2018,"https://hdl.handle.net/2134/29860",""
"6, 1980 (Zaria, Nigeria)","9595280","Experience with shallow wells in Tanzania","6","Robert Trietsch",2018,"https://hdl.handle.net/2134/29811",""
"6, 1980 (Zaria, Nigeria)","9595346","Greater Kano water supply","6","B. Almassy",2018,"https://hdl.handle.net/2134/29799",""
"6, 1980 (Zaria, Nigeria)","9595322","Pipe-borne water supply in a traditional society - Nigerian condition","6","E.A. Anyahuru",2018,"https://hdl.handle.net/2134/29770",""
"6, 1980 (Zaria, Nigeria)","9595265","The engineer in an underprivileged environment","6","R. Foster, T.R. Crossley",2018,"https://hdl.handle.net/2134/29708",""
"6, 1980 (Zaria, Nigeria)","9595319","Low cost sanitation in buildings","6","J.O. Oyennga",2018,"https://hdl.handle.net/2134/29702",""
"6, 1980 (Zaria, Nigeria)","9595289","Model for effective community participation in rural community water supply projects in Anambra State of Nigeria","6","Okay C. Igwe",2018,"https://hdl.handle.net/2134/29518",""
"6, 1980 (Zaria, Nigeria)","9595274","Nitrate pollution of groundwater in Botswana","6","Len G. Hutton, W.J. Lewis",2018,"https://hdl.handle.net/2134/29431",""
"6, 1980 (Zaria, Nigeria)","9595304","Aerated lagoons for the treatment of industrial wastewaters in developing countries","6","Ken V. Ellis",2018,"https://hdl.handle.net/2134/29396",""
"6, 1980 (Zaria, Nigeria)","9595268","Aspects of isotope hydrology in Nigeria","6","E.P. Loehnert",2018,"https://hdl.handle.net/2134/29165",""
"6, 1980 (Zaria, Nigeria)","9595349","The design of waste stabilisation ponds","6","J.I. Fraser",2018,"https://hdl.handle.net/2134/29166",""
"6, 1980 (Zaria, Nigeria)","9595337","Operation and maintenance of semi-urban water supply stations in Kano State","6","A.M. Sabari",2018,"https://hdl.handle.net/2134/28997",""
"6, 1980 (Zaria, Nigeria)","9595340","The effect of catchment data on project evaluation","6","Richard D. Faulkner, Geoffrey H. Mortimer",2018,"https://hdl.handle.net/2134/28895",""
"6, 1980 (Zaria, Nigeria)","9595301","Kaduna water supply extensions - Barnawa dam project","6","M.S. Abid",2018,"https://hdl.handle.net/2134/28889",""
"6, 1980 (Zaria, Nigeria)","9595334","Improving the pit latrine","6","R.F. Carroll",2018,"https://hdl.handle.net/2134/28771",""
"6, 1980 (Zaria, Nigeria)","9595352","Resources recovery in tropical wastes disposal: composting and biogas technologies","6","K.O. Iwugo",2018,"https://hdl.handle.net/2134/28698",""
"6, 1980 (Zaria, Nigeria)","9595325","The selection of an appropriate well screen material for a developing country","6","Bill Moffat",2018,"https://hdl.handle.net/2134/28684",""
"6, 1980 (Zaria, Nigeria)","9595310","Treatment of small flows wastewater onsite with intermittent sand filtration","6","William C. Boyle, Richard J. Otis",2018,"https://hdl.handle.net/2134/28675",""
"6, 1980 (Zaria, Nigeria)","9595355","Runoff hydrographs from Northern Nigeria watersheds without streamflow records","6","J. Obiukwu Duru",2018,"https://hdl.handle.net/2134/28644",""
"6, 1980 (Zaria, Nigeria)","9595244","Rural water supply and community development: a study of Kajola area of Nigeria","6","Layi Egunjobi",2018,"https://hdl.handle.net/2134/28587",""
"6, 1980 (Zaria, Nigeria)","9595271","Hand pump maintenance programme: Ghana","6","Robert R. Bannerman",2018,"https://hdl.handle.net/2134/28586",""
"6, 1980 (Zaria, Nigeria)","9595295","Waterborne sanitation in Nigerian cities","6","T.M. Aluko",2018,"https://hdl.handle.net/2134/28512",""
"7, 1981 (Loughborough, UK)","9590705","The interdependence of public health engineering and a system of lifelong education","7","Terry Murphy",2018,"https://hdl.handle.net/2134/31742",""
"7, 1981 (Loughborough, UK)","9590732","Organisation development","7","R. Franklin",2018,"https://hdl.handle.net/2134/30705",""
"7, 1981 (Loughborough, UK)","9590579","Vietnam's sanitation system","7","Krisno Nimpuno",2018,"https://hdl.handle.net/2134/30669",""
"7, 1981 (Loughborough, UK)","9590858","Treatment needed for ground water in some Middle East countries (case study)","7","Hassan Mitwally, Jack I. Ibrahim",2018,"https://hdl.handle.net/2134/30565",""
"7, 1981 (Loughborough, UK)","9590708","Installation and operation of a Nigerian anaerobic digester based on crop wastes","7","Barry I. Wheatley, S.E. Etheridge, K. Adesogan",2018,"https://hdl.handle.net/2134/30127",""
"7, 1981 (Loughborough, UK)","9590537","Incremental utilities provision and affordability","7","David B. Allen, Forbes W. Davidson, Alistair C. Blunt",2018,"https://hdl.handle.net/2134/29981",""
"7, 1981 (Loughborough, UK)","9590777","Urban sanitation and planning in Khartoum and Omdurman","7","Jack R. Preston, Richard P. Cree",2018,"https://hdl.handle.net/2134/29881",""
"7, 1981 (Loughborough, UK)","9590711","The prehistory of public health - water and waste in the ancient Near East","7","Robert Miller",2018,"https://hdl.handle.net/2134/29861",""
"7, 1981 (Loughborough, UK)","9590657","Migration and squatting and the implication this has on water supply and sanitation","7","Hildegarda M. Vanlankveld",2018,"https://hdl.handle.net/2134/29751",""
"7, 1981 (Loughborough, UK)","9590714","Planning for community participation in water supply and sanitation: accounting for variability in community characteristics","7","Raymond B. Isely",2018,"https://hdl.handle.net/2134/29278",""
"7, 1981 (Loughborough, UK)","9590702","Membrane techniques in effluent disposal along with water/chemicals reclamation","7","Somnath Basu, Sumit Moulik",2018,"https://hdl.handle.net/2134/29005",""
"7, 1981 (Loughborough, UK)","9590678","Treatability of rice starch wastewater","7","Ahmed Hamza, Fathy Hamoda, Samia Saad",2018,"https://hdl.handle.net/2134/28926",""
"7, 1981 (Loughborough, UK)","9590633","What role for the consulting engineer","7","David O. Lloyd",2018,"https://hdl.handle.net/2134/28719",""
"7, 1981 (Loughborough, UK)","9590813","Community requirements in the design of appropriate water supply systems","7","Alan Rew, F.R. Delauzun",2018,"https://hdl.handle.net/2134/28687",""
"7, 1981 (Loughborough, UK)","9590615","Irrigation in Africa and Asia - politics and problems","7","Chris Edwards, Linden Vincent",2018,"https://hdl.handle.net/2134/28668",""
"7, 1981 (Loughborough, UK)","9590567","Human resources development in water supply and sanitation","7","John H. Austin, Dennis Warner, Mary Elmendorf",2018,"https://hdl.handle.net/2134/28615",""
"7, 1981 (Loughborough, UK)","9590720","People's participation in slum upgrading","7","Quratal Ain",2018,"https://hdl.handle.net/2134/28588",""
"7, 1981 (Loughborough, UK)","9590717","Local influences and their effect on the concept and design of sanitation projects","7","Roger B. Harris, J.F. Jackson",2018,"https://hdl.handle.net/2134/28573",""
"8, 1982 (Madras, India)","9597326","African public health engineering during the decade","8","K.O. Iwugo",2018,"https://hdl.handle.net/2134/30677",""
"8, 1982 (Madras, India)","9597359","Reuse of campus sewage for pisiculture and agriculture","8","R. Pitchai, V.S. Govindan",2018,"https://hdl.handle.net/2134/30575",""
"8, 1982 (Madras, India)","9597401","The design of filters with low cost materials for small communities","8","S. Vigneswaran",2018,"https://hdl.handle.net/2134/30579",""
"8, 1982 (Madras, India)","9597341","Environmental planning of bustee areas in Calcutta metropolitan district","8","Manas Banerjee, S.K. Mukherjee",2018,"https://hdl.handle.net/2134/30548",""
"8, 1982 (Madras, India)","9597392","Sewage treatment and its essentials","8","P.S. Rajvanshy, S.K. Mishra",2018,"https://hdl.handle.net/2134/30538",""
"8, 1982 (Madras, India)","9597350","Research and development needs relevant to the drinking water supply and sanitation decade 1981-1990","8","R. Pitchai, R. Guruswamy",2018,"https://hdl.handle.net/2134/30535",""
"8, 1982 (Madras, India)","9597329","Methane production from distillery wastes in anaerobic charcoal filters","8","T. Damodara Rao, P. Venkatachalam",2018,"https://hdl.handle.net/2134/30490",""
"8, 1982 (Madras, India)","9597305","Policies for treatment and disposal of industrial wastes","8","Syed Munawar Husain Bukhary",2018,"https://hdl.handle.net/2134/30442",""
"8, 1982 (Madras, India)","9597386","An approach to water sector training in developing countries","8","A.M. Richards",2018,"https://hdl.handle.net/2134/30429",""
"8, 1982 (Madras, India)","9597389","Rearing of fish fry of Indian major carps in sewage stabilisation ponds","8","H.L. Bhatia, C.A. Sastry",2018,"https://hdl.handle.net/2134/30332",""
"8, 1982 (Madras, India)","9597356","Low-cost household water treatment for developing countries","8","S.M. Dhabadgaonkar",2018,"https://hdl.handle.net/2134/30307",""
"8, 1982 (Madras, India)","9597323","Remote sensing with special reference to pollution","8","H.S. Mehta, A.N. Patel",2018,"https://hdl.handle.net/2134/30224",""
"8, 1982 (Madras, India)","9597338","A suggested procedure for the evaluation of bids for consultancy services","8","S. Sundaramoorthy",2018,"https://hdl.handle.net/2134/30216",""
"8, 1982 (Madras, India)","9597308","Innovative on-site soil disposal systems for septic tank effluent","8","K Terkonda. Purush",2018,"https://hdl.handle.net/2134/30114",""
"8, 1982 (Madras, India)","9597302","Knowledge management in public water supply system undertakings","8","V. Varadarajan, S. Sundaramoorthy, S. Sivaprakasam",2018,"https://hdl.handle.net/2134/30095",""
"8, 1982 (Madras, India)","9597377","Research and development demonstration needs in water and waste engineering in Asia","8","T. Viraraghavan, T. Damodara Rao",2018,"https://hdl.handle.net/2134/30064",""
"8, 1982 (Madras, India)","9597395","International water and sanitation decade, is it a dream or a reality?","8","G. Sagar, V.K. Agarwal",2018,"https://hdl.handle.net/2134/30027",""
"8, 1982 (Madras, India)","9597368","Development of appropriate technology in meeting drinking water demand of rural India","8","Somnath Basu, R.N. Patra",2018,"https://hdl.handle.net/2134/29859",""
"8, 1982 (Madras, India)","9597335","Rural water supply in the 1980's","8","A.C. Chaturvedi",2018,"https://hdl.handle.net/2134/29819",""
"8, 1982 (Madras, India)","9597353","Management of protected water supply schemes","8","George Mathew, S.A. Jagadeesan",2018,"https://hdl.handle.net/2134/29829",""
"8, 1982 (Madras, India)","9597317","Study of water pollution in river Jhelum of Kashmir","8","N. Choudhary, N.P. Shukla, Riazul Amin, S.P. Qalandar",2018,"https://hdl.handle.net/2134/29773",""
"8, 1982 (Madras, India)","9597320","Cattle waste problems in Madras metropolitan sewer system - a practicable solution","8","S. Daivamani, S. Anandapadmanabhan, S. Sundaramoorthy",2018,"https://hdl.handle.net/2134/29776",""
"8, 1982 (Madras, India)","9597398","Ground water for rural development - a case study","8","K.M. Gurappa, M.R. Gajendragad, G. Rajenna, A.N. Seetharan",2018,"https://hdl.handle.net/2134/29607",""
"8, 1982 (Madras, India)","9597383","Studies on the productivity of air breathers and crop production in waste water","8","K.P. Krishnamoorthi, M.M. Parhad, G.B. Shende, B.B. Sundaresan",2018,"https://hdl.handle.net/2134/29589",""
"8, 1982 (Madras, India)","9597347","Desalination by aquatic weeds","8","K. Raghavan Nambiar, T.S. Ramanatha Iyer",2018,"https://hdl.handle.net/2134/29500",""
"8, 1982 (Madras, India)","9597374","Decade programme in Tamil Nadu","8","R. Krishnaswamy, S.A. Jagadeesan",2018,"https://hdl.handle.net/2134/29217",""
"8, 1982 (Madras, India)","9597371","Sulabh Shauchalya (hand flush water seal latrine)","8","Bindeshwar Pathak",2018,"https://hdl.handle.net/2134/29124",""
"8, 1982 (Madras, India)","9597365","Up-grading of Basti Saidan Shah","8","Sattar Sikander",2018,"https://hdl.handle.net/2134/28917",""
"8, 1982 (Madras, India)","9597380","Application of vector mechanics in a manually operated turbo-pump","8","S.S. Garg",2018,"https://hdl.handle.net/2134/28856",""
"8, 1982 (Madras, India)","9597362","Low cost waste treatment methods for treating pharmaceutical wastes","8","B.V.S. Gurunadha Rao, C.A. Sastry",2018,"https://hdl.handle.net/2134/28805",""
"8, 1982 (Madras, India)","9597311","Unconventional low cost simplified sewage treatment by rotating biological contactor and anaerobic (upflow) filter system","8","V. Raman, A.N. Khan",2018,"https://hdl.handle.net/2134/28622",""
"8, 1982 (Madras, India)","9597344","The use of Markov renewal theory in rural water supplies","8","K. Achuthan",2018,"https://hdl.handle.net/2134/28612",""
"8, 1982 (Madras, India)","9597314","Briquette making eases solid waste disposal","8","J.N. Ramaswamy, N. Sathiya Kumar",2018,"https://hdl.handle.net/2134/28600",""
"8, 1982 (Madras, India)","9597332","Performance of some biological treatment plants for industrial waste water treatment","8","Deepak Kantawala",2018,"https://hdl.handle.net/2134/28569",""
"9, 1983 (Harare, Zimbabwe)","9586292","Community participation in water and sanitation","9","Patricia Walsh",2018,"https://hdl.handle.net/2134/31693",""
"9, 1983 (Harare, Zimbabwe)","9586268","Communication support in sanitation development","9","E.P.W. Cross",2018,"https://hdl.handle.net/2134/30547",""
"9, 1983 (Harare, Zimbabwe)","9586340","Low-cost sanitation in Nigeria","9","P.A. Oluwande, A. Onibokun",2018,"https://hdl.handle.net/2134/30388",""
"9, 1983 (Harare, Zimbabwe)","9586271","Rural water supply in Ayangba area, Nigeria","9","G. Smethurst, C.J.A. Binnie, R.E. Ashford",2018,"https://hdl.handle.net/2134/30365",""
"9, 1983 (Harare, Zimbabwe)","9586316","Waste management in urban slums","9","S.A. Amoaning-Yankson",2018,"https://hdl.handle.net/2134/30354",""
"9, 1983 (Harare, Zimbabwe)","9586328","Water leakage in Addis Ababa","9","G.A. Bridger",2018,"https://hdl.handle.net/2134/30353",""
"9, 1983 (Harare, Zimbabwe)","9586283","Household water supply - a user's or a supplier's problem?","9","P.A. Lindskog, R.U.M. Lindskog",2018,"https://hdl.handle.net/2134/30337",""
"9, 1983 (Harare, Zimbabwe)","9586298","Urban solid waste: Appropriate technology","9","K.J. Nath, Pradip K. Chatterjee, S.K. Dasgupta, D.M. De",2018,"https://hdl.handle.net/2134/30292",""
"9, 1983 (Harare, Zimbabwe)","9586301","Phoredox activated sludge unit at the Firle Sewage Disposal Works Harare","9","F.C. Cox",2018,"https://hdl.handle.net/2134/30259",""
"9, 1983 (Harare, Zimbabwe)","9586304","Low cost in rural groundwater projects in Malawi","9","A. Smith-Carington",2018,"https://hdl.handle.net/2134/30025",""
"9, 1983 (Harare, Zimbabwe)","9586337","Project implementation management and community participation","9","Ephraim M. Chimbunde",2018,"https://hdl.handle.net/2134/30022",""
"9, 1983 (Harare, Zimbabwe)","9586280","Water supplies for resettled populations","9","B.H. Kinsey",2018,"https://hdl.handle.net/2134/29988",""
"9, 1983 (Harare, Zimbabwe)","9586313","The implementation of urban and rural sanitation programmes in Botswana","9","James G. Wilson",2018,"https://hdl.handle.net/2134/29959",""
"9, 1983 (Harare, Zimbabwe)","9586295","Training through work experience","9","W.K. Tayler",2018,"https://hdl.handle.net/2134/29880",""
"9, 1983 (Harare, Zimbabwe)","9586307","Community participation in rural water supplies in Kenya","9","S.I. Kabuage",2018,"https://hdl.handle.net/2134/29851",""
"9, 1983 (Harare, Zimbabwe)","9586319","Water supply for Gedaref: are infiltration galleries the answer?","9","Andrew P. Cotton, M.A. Sanousi",2018,"https://hdl.handle.net/2134/29786",""
"9, 1983 (Harare, Zimbabwe)","9586289","Water and sewerage in housing development","9","J.D. Milne",2018,"https://hdl.handle.net/2134/29579",""
"9, 1983 (Harare, Zimbabwe)","9586310","Training of treatment plant operatives","9","J. McKendrick",2018,"https://hdl.handle.net/2134/29510",""
"9, 1983 (Harare, Zimbabwe)","9586322","Participation in rural water supply - the Malawi experience","9","L.A.H. Msukwa",2018,"https://hdl.handle.net/2134/29426",""
"9, 1983 (Harare, Zimbabwe)","9586277","Organisation and implementation of a dug wells programme","9","Piet Te Velde",2018,"https://hdl.handle.net/2134/29399",""
"9, 1983 (Harare, Zimbabwe)","9586334","Urban low cost sanitation","9","J.D.B. Ashworth",2018,"https://hdl.handle.net/2134/29231",""
"9, 1983 (Harare, Zimbabwe)","9586331","Fish production in waste stabilization ponds","9","Brian S. Meadows",2018,"https://hdl.handle.net/2134/28857",""
"9, 1983 (Harare, Zimbabwe)","9586325","Institution building for the decade: The role of consultants","9","P.A. Batchelor, K. Starkey, D. Parish",2018,"https://hdl.handle.net/2134/28770",""
"9, 1983 (Harare, Zimbabwe)","9586286","Disposal of toxic and industrial liquid waste in the city of Harare, Zimbabwe","9","J.B. Keeling",2018,"https://hdl.handle.net/2134/28737",""
"10, 1984 (Singapore)","9588521","Design for effective implementation and efficient operation","10","N.D. Peiris, J.S.N. Jones, David O. Lloyd",2018,"https://hdl.handle.net/2134/31781",""
"10, 1984 (Singapore)","9588512","The water and sanitation programme in Bangladesh - success or failure?","10","K. Laubjerg",2018,"https://hdl.handle.net/2134/31744",""
"10, 1984 (Singapore)","9588488","Community participation and education in sanitation programmes","10","K.N. Vijayanthi",2018,"https://hdl.handle.net/2134/30695",""
"10, 1984 (Singapore)","9588554","Treatment of electroplating wastes","10","Joo-Hwa Tay",2018,"https://hdl.handle.net/2134/30648",""
"10, 1984 (Singapore)","9588515","Sanitation from biogas in China","10","Li Nianguo",2018,"https://hdl.handle.net/2134/30532",""
"10, 1984 (Singapore)","9588464","Environmental improvement in slums through community participation","10","Percival R. Thomas, K.N. Ramamurthy",2018,"https://hdl.handle.net/2134/30518",""
"10, 1984 (Singapore)","9588446","Experiences in planning and implementing low cost sanitation","10","S.R. Kshirsagar",2018,"https://hdl.handle.net/2134/30361",""
"10, 1984 (Singapore)","9588518","Aspects of sanitary engineering works in developing countries","10","P. Sutcliffe",2018,"https://hdl.handle.net/2134/30338",""
"10, 1984 (Singapore)","9588533","Appropriate technology for water filtration","10","T.R. Mampitiyarachchi",2018,"https://hdl.handle.net/2134/30283",""
"10, 1984 (Singapore)","9588458","Water supply for Tehran","10","Mehdi Borghei",2018,"https://hdl.handle.net/2134/30263",""
"10, 1984 (Singapore)","9588509","Leakage in municipal water supply system: a case study in Nepal","10","B.N. Lohani, T. Tashi",2018,"https://hdl.handle.net/2134/30217",""
"10, 1984 (Singapore)","9588485","Alternative wastewater treatment strategies","10","H. Orth, A. Sahasakul",2018,"https://hdl.handle.net/2134/30173",""
"10, 1984 (Singapore)","9588410","Slow sand filtration and appropriate technology","10","R. Paramasivam, V.A. Mhaisalkar, B.B. Sundaresan",2018,"https://hdl.handle.net/2134/30159",""
"10, 1984 (Singapore)","9588449","An approach paper for adoption of ""Bona"" tank type latrine","10","G. Sagar",2018,"https://hdl.handle.net/2134/30140",""
"10, 1984 (Singapore)","9588494","Wastewater - Hong Kong and Taiwan","10","S.L. Tang",2018,"https://hdl.handle.net/2134/29998",""
"10, 1984 (Singapore)","9588524","Experiences with low cost water supply","10","R.G. Campen, C.M. Engelsman, H. van Mulligan",2018,"https://hdl.handle.net/2134/30002",""
"10, 1984 (Singapore)","9588428","The softer side of software in DECADE planning","10","Mary Elmendorf",2018,"https://hdl.handle.net/2134/29767",""
"10, 1984 (Singapore)","9588467","Low cost sanitation in India","10","K.J. Nath, Pradip K. Chatterjee",2018,"https://hdl.handle.net/2134/29572",""
"10, 1984 (Singapore)","9588536","Composting of urban solid wastes","10","K.J. Nath, S.K. Dasgupta",2018,"https://hdl.handle.net/2134/29538",""
"10, 1984 (Singapore)","9588401","A manual for the installation, repair and maintenance of the IRDC-UM handpump","10","C.C. Verzosa, R.T. Mahoney, M.M. Villanueva",2018,"https://hdl.handle.net/2134/29485",""
"10, 1984 (Singapore)","9588404","Manpower development for urban and semi urban water supplies in Indonesia","10","A.L. Spencer, Sri Redzeki",2018,"https://hdl.handle.net/2134/29473",""
"10, 1984 (Singapore)","9588530","Refugee camp water and sanitation","10","C.E. Herrera, Surasan Sataviriya",2018,"https://hdl.handle.net/2134/29439",""
"10, 1984 (Singapore)","9588548","Tests on the wear in handpump cylinders","10","S.T. Goh, W. Tee",2018,"https://hdl.handle.net/2134/29429",""
"10, 1984 (Singapore)","9588470","Three recent Malaysian dams","10","D.W. Berry, L.J.S. Attewill",2018,"https://hdl.handle.net/2134/29403",""
